n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,cv_ndcg
300,0.1,15,10,0.8,1.0,0.7132490077907123
300,0.1,15,10,0.8,0.8,0.7132490077907123
500,0.05,31,5,0.8,0.8,0.7132483503788033
500,0.05,31,5,0.8,1.0,0.7132483503788033
100,0.05,15,10,0.8,1.0,0.713245847905202
100,0.05,15,10,0.8,0.8,0.713245847905202
100,0.1,63,5,0.8,0.8,0.7132385159597947
100,0.1,63,5,0.8,1.0,0.7132385159597947
300,0.1,31,5,0.8,1.0,0.7132300228044857
300,0.1,31,5,0.8,0.8,0.7132300228044857
300,0.05,15,10,0.8,1.0,0.7132245416456916
300,0.05,15,10,0.8,0.8,0.7132245416456916
100,0.05,15,5,1.0,1.0,0.7132151698277627
100,0.05,15,5,1.0,0.8,0.7132151698277627
500,0.05,63,10,0.8,1.0,0.7131750871032013
500,0.05,63,10,0.8,0.8,0.7131750871032013
300,0.05,31,10,1.0,1.0,0.7131743293227235
300,0.05,31,10,1.0,0.8,0.7131743293227235
100,0.01,31,10,0.8,0.8,0.7131640788557481
100,0.01,31,10,0.8,1.0,0.7131640788557481
100,0.05,31,5,0.8,1.0,0.7131509093568998
100,0.05,31,5,0.8,0.8,0.7131509093568998
100,0.1,15,10,1.0,0.8,0.7131500411146536
100,0.1,15,10,1.0,1.0,0.7131500411146536
500,0.05,31,10,0.8,0.8,0.713143993950659
500,0.05,31,10,0.8,1.0,0.713143993950659
500,0.01,15,5,0.8,0.8,0.7131280996393947
500,0.01,15,5,0.8,1.0,0.7131280996393947
500,0.05,63,5,0.8,0.8,0.7131276905677002
500,0.05,63,5,0.8,1.0,0.7131276905677002
300,0.05,63,20,1.0,0.8,0.7131116896340337
300,0.05,63,20,1.0,1.0,0.7131116896340337
300,0.05,31,20,1.0,0.8,0.7131116896340337
300,0.05,31,20,1.0,1.0,0.7131116896340337
300,0.1,63,5,0.8,0.8,0.7130988894802521
300,0.1,63,5,0.8,1.0,0.7130988894802521
100,0.05,31,10,1.0,0.8,0.7130985172897617
100,0.05,31,10,1.0,1.0,0.7130985172897617
500,0.05,63,20,0.8,1.0,0.7130958781541168
500,0.05,63,20,0.8,0.8,0.7130958781541168
100,0.01,15,10,0.8,0.8,0.7130923253124805
100,0.01,15,10,0.8,1.0,0.7130923253124805
300,0.05,63,20,0.8,1.0,0.713057077416365
300,0.05,63,20,0.8,0.8,0.713057077416365
500,0.05,31,20,0.8,1.0,0.7130557227898016
500,0.05,31,20,0.8,0.8,0.7130557227898016
500,0.05,31,20,1.0,0.8,0.7130452901602183
500,0.05,31,20,1.0,1.0,0.7130452901602183
500,0.05,63,20,1.0,1.0,0.7130452901602183
500,0.05,63,20,1.0,0.8,0.7130452901602183
500,0.01,63,10,1.0,0.8,0.713040057540207
500,0.01,63,10,1.0,1.0,0.713040057540207
100,0.1,15,5,0.8,1.0,0.7130372206264556
100,0.1,15,5,0.8,0.8,0.7130372206264556
300,0.05,31,20,0.8,1.0,0.7130295556396571
300,0.05,31,20,0.8,0.8,0.7130295556396571
300,0.1,15,5,0.8,0.8,0.7130281476852337
300,0.1,15,5,0.8,1.0,0.7130281476852337
300,0.01,15,10,1.0,0.8,0.7130231737944416
300,0.01,15,10,1.0,1.0,0.7130231737944416
300,0.1,31,5,1.0,0.8,0.7130161114091337
300,0.1,31,5,1.0,1.0,0.7130161114091337
500,0.05,15,10,1.0,0.8,0.712994748088605
500,0.05,15,10,1.0,1.0,0.712994748088605
300,0.1,63,10,1.0,1.0,0.7129894756279661
300,0.1,63,10,1.0,0.8,0.7129894756279661
500,0.1,15,5,0.8,1.0,0.7129493759867525
500,0.1,15,5,0.8,0.8,0.7129493759867525
100,0.1,15,10,0.8,1.0,0.7129338021372598
100,0.1,15,10,0.8,0.8,0.7129338021372598
100,0.05,63,20,0.8,0.8,0.7129217506579686
100,0.05,63,20,0.8,1.0,0.7129217506579686
100,0.05,31,20,0.8,0.8,0.7129217506579686
100,0.05,31,20,0.8,1.0,0.7129217506579686
100,0.1,63,10,1.0,0.8,0.7129042163405582
100,0.1,63,10,1.0,1.0,0.7129042163405582
500,0.1,63,5,0.8,1.0,0.712875776762064
500,0.1,63,5,0.8,0.8,0.712875776762064
500,0.01,31,10,0.8,0.8,0.7128595600762081
500,0.01,31,10,0.8,1.0,0.7128595600762081
500,0.01,31,5,0.8,1.0,0.7128269475019748
500,0.01,31,5,0.8,0.8,0.7128269475019748
500,0.1,31,5,1.0,1.0,0.7128182689218243
500,0.1,31,5,1.0,0.8,0.7128182689218243
500,0.1,63,5,1.0,0.8,0.7128157152401564
500,0.1,63,5,1.0,1.0,0.7128157152401564
100,0.01,15,20,1.0,0.8,0.712812657636239
100,0.01,15,20,1.0,1.0,0.712812657636239
300,0.05,31,5,1.0,0.8,0.7128002196109722
300,0.05,31,5,1.0,1.0,0.7128002196109722
300,0.01,15,20,1.0,1.0,0.7127813679793001
300,0.01,15,20,1.0,0.8,0.7127813679793001
500,0.05,15,20,0.8,1.0,0.7127738930260551
500,0.05,15,20,0.8,0.8,0.7127738930260551
500,0.1,63,20,0.8,0.8,0.7127679021557493
500,0.1,63,20,0.8,1.0,0.7127679021557493
500,0.1,31,20,0.8,1.0,0.7127679021557493
500,0.1,31,20,0.8,0.8,0.7127679021557493
100,0.1,31,5,1.0,1.0,0.7127394905052038
100,0.1,31,5,1.0,0.8,0.7127394905052038
500,0.01,63,5,0.8,0.8,0.7127349465533068
500,0.01,63,5,0.8,1.0,0.7127349465533068
500,0.1,63,20,1.0,0.8,0.7127289023757629
500,0.1,63,20,1.0,1.0,0.7127289023757629
500,0.1,31,20,1.0,0.8,0.7127289023757629
500,0.1,31,20,1.0,1.0,0.7127289023757629
500,0.05,31,10,1.0,0.8,0.7127177418806108
500,0.05,31,10,1.0,1.0,0.7127177418806108
300,0.01,15,10,0.8,1.0,0.7127044363440661
300,0.01,15,10,0.8,0.8,0.7127044363440661
500,0.01,15,10,0.8,1.0,0.7126916873327924
500,0.01,15,10,0.8,0.8,0.7126916873327924
100,0.1,31,10,0.8,0.8,0.7126851766364889
100,0.1,31,10,0.8,1.0,0.7126851766364889
500,0.01,63,20,1.0,1.0,0.7126835307745661
500,0.01,63,20,1.0,0.8,0.7126835307745661
500,0.01,31,20,1.0,0.8,0.7126835307745661
500,0.01,31,20,1.0,1.0,0.7126835307745661
300,0.1,63,20,0.8,0.8,0.7126826529082275
